document,paragraph_number,text,label
ME-15-08-54962-361,50,"ע""פ 5147/13 - ערעור של הנאשם איאד אבו אלג'דיאן, על גז""ד שבו הוטלו עליו 19 שנות מאסר בפועל בגין עבירות של ניסיון רצח - ירי 10 כדורים לעבר טנק צה""לי, סיוע לניסיון לרצח, עבירות בנשק, חברות בארגון טרוריסטי, ופעילות בהתאחדות בלתי מותרת. ביהמ""ש העליון הפחית שנתיים מהעונש והעמידו על 17 שנות מאסר. ",1
ME-15-08-54962-361,52,"תפ""ח 1057/07 - בעניין אחמד צופי, שם נדון נאשם שהורשע, לפי הודאתו, בשישה אישומים, שכללו ניסיון רצח ועבירות נוספות. בגין עבירת ניסיון הרצח, שעניינה היה ירי טילים אל ישראל, נקבע מתחם ענישה של בין 10 ל- 18 שנות מאסר, וביהמ""ש העליון דחה את ערעורו (ע""פ 2626/13). ",1
ME-15-08-54962-361,93,"ע""פ 3015/09, מ""י נ. פואד קדיח - ביהמ""ש העליון אישר עונש של 6 שנות מאסר, שהוטל על הנאשם, שהורשע בקשירת קשר לפשע, ניסיון רצח, נשיאת נשק וחברות בארגון טרור. הוא אחסן בביתו מטעני נפץ, הטמינם, עם אחרים, נגד טנקי צה""ל, אך משלא הופעלו- שב ואיחסנם בביתו. הוא סרב לשוב ולהטמין את המטענים, וכשהתבקש לדווח על תנועות צה""ל באזורו, הסכים, אך לא עשה כן. אוזכרה העובדה, שלא הוא היה היוזם והרוח החיה בפעילות זו, ושסרב לשוב ולהניח את המטענים, ונמצא, שהעונש הולם, חרף חומרת הדברים ופוטנציאל הפגיעה בחיי אדם.",1
ME-15-08-54962-361,117,"מדיניות הענישה, בהקשר פעילות טרור מתחומי עזה, לא כל שכן, כאשר זו מגלמת  פוטנציאל ממשי של פגיעה אקראית בחיילים ובאזרחים - ירי טילים מתוך כוונה לפגוע אי שם בתחומי ישראל, הינה מחמירה, והיא מתעדפת האינטרס הציבורי על פני כל שיקול פרטני ונסיבות אישיות של המבצע. ברוח זו, קבע ביהמ""ש העליון בע""פ 4654/13, מאלק חילס נ' מ""י (מיום 5.8.15), כי ""הבכורה חייבת להינתן לאינטרס הציבורי. זהו כורח המציאות, להכביד את העול, ולהעניש בחומרה רבה מי שביצע מעשים כגון דא, שיגור טיל לעבר מדינת ישראל ופעילות טרוריסטית נוספת. אין צורך לתאר את הקטל ואת ההרס שצופנים בחובם טילים המשוגרים לישראל, פגיעות בנפש וברכוש, ובזריעת פחד ובהלה... גזר הדין חייב לשקף גמול הולם, שעת  נפש הרתעה, ובעיקר - קדושת החיים"". ובדומה לכך, אוזכרו בע""פ 7403/07 (פאדי נג'אר נ' מ""י), דבריה של כב' השופטת א. פרוקצ'ה, בע""פ  3289/05, מחאג'נה נ' מ""י, (מיום 10.10.05), על כי ""יש להדגיש בעוצמה הנדרשת את מסר ההרתעה מפני כל סוג של שותפות בתכנון וביצוע של מעשי דמים, פרי מניעי טרור, המכוונים כלפי כל אדם בישראל"". ",0
ME-15-08-54962-361,138,"ביחס לאישום החמישי - מעורבות פעילה בירי טיל, והרשעה גם בניסיון רצח, בגין כך, נפסקו, בכגון דא, מתחמי ענישה גבוהים יחסית. בעניין מאלק חילס, ע""פ 4654/13,  הנ""ל, נקבע, מתחם של בין 10 ל-15 שנות מאסר. הנאשם, באותו עניין, ניסה לשגר, עם חבריו, טיל לעבר ישראל, שהיה מצויד בהפעלה חשמלית, אך, הייתה תקלה, והטיל לא שוגר. ניסיון נוסף נכשל בשל ראש נפץ לא תקין, אך לאחר מספר ימים, חברי החוליה שיגרו בהצלחה טיל וניסו לגרום בכך למותם של תושבי ישראל.",1
ME-15-08-54962-361,165,"יחד עם זאת, אבקש להסתייג מפרט מסוים בנימוקיו של חברי, והוא - אזכור שיקולי ההרתעה בהקשר לערכים המוגנים והערכת מתחם העונש הראוי. זאת, תוך ציטוט דברי השופטת פרוקצ'יה בע""פ 3289/05 בעניין חשיבות ההרתעה בהקשר למעשי טרור. לטעמי, בשים לב להוראות סעיף 40ז לחוק העונשין כפי שתוקן בתיקון 113, אין מקום לשיקולי הרתעה בשלב קביעת המתחם (ראו דברי השופט ג'ובראן בפסקאות 20 ו- 34 לחוות דעתו בע""פ 1127/13 גברזגיי נ' מדינת ישראל (15.1.14)). אמנם, שיקול ההרתעה היה יסוד מרכזי בפסיקה אשר לפני התיקון, אך, יש להיזהר, שלא תשפיע על הענישה האידנא, למרות מקומה של ""מדיניות הענישה הנהוגה"" במתחם הענישה, לפי סעיף 40ג לחוק העונשין. שכן, כידוע ""זיהוי מתחם העונש ההולם עם טווח הענישה המקובל (כיום) הוא שגוי גם מאחר שהוא יאפשר הכנסת שיקולים שאינם קשורים בביצוע העבירה לתוך השלב הראשון (של קביעת מתחם העונש), שאמור על-פי תיקון 113 להיות ""נקי"" משיקולים אלה. שהרי, רף הענישה הקיים כיום בפסיקה משקף את משטר הענישה שלפני התיקון..."" (השופטת ארבל בע""פ 1323/13 חסן וגבריה נ' מדינת ישראל (5.6.13)).",0
ME-15-08-54962-361,167,"אכן, בתוך המתחם מותר להתחשב בשיקול ההרתעה, ולגבי עבירות מסוימות אף נקבע, שהמדינה אינה חייבת להוכיח את יעילות ההרתעה במקרה הקונקרטי כפי שמשתמע מלשון סעיף 40ז לחוק. אולם, דברים אלה נקבעו בעיקר בעבירות בעלות מניע כלכלי ולא אידאולוגי (הלכת גברזגיי הנ""ל וראו בעיקר השיקולים שנקבעו לגבי עבירות שחיתות וצווארון לבן בע""פ 3927/16 מדינת ישראל נ' בר זיו (23.2.17), שניתן על יסוד מחקר אמפירי). אולם, לטעמי כל עוד לא יוכח אחרת, סביר להניח שאין תוחלת להרתעה בעבירות טרור הנובעות ממניעים אידאולוגיים. הדברים נכונים בתיק זה במיוחד, כאשר לפחות באישומים הראשון, החמישי והשישי המעשים נעשו למרות קיומו של סיכון חיים בתגובה קטלנית של צה""ל. לטעמי, לשון החוק אוסרת על התחשבות בשיקול ההרתעה בהעדר תוחלת. לפיכך, אין מקום לשיקול זה בתיק זה, אף לא בתוך המתחם. ",0
ME-18-04-3295-790,51," בית המשפט העליון חזר פעם אחר פעם על החומרה הגלומה בעבירות נשק ועל פוטנציאל הפגיעה בנפש וברכוש שעלולים להיגרם כתוצאה מהשימוש בו, ומכאן הצורך להחמיר עם מי שמבצעים עבירות אלה. יפים הדברים שנאמרו לאחרונה בע""פ 8045/17 בראנסי ואח' נ' מדינת ישראל (16.8.18), מפי  כב' השופט ד' מינץ בעניין עבירות של סחר בנשק, מהם ניתן ללמוד לעניינינו:",0
ME-18-04-3295-790,53,"""פעילות של סחר בלתי חוקי בנשק אוצרת בחובה פגיעה בערכים חברתיים בעלי חשיבות רבה, בהם שלמות הגוף, חיי אדם ושלום הציבור וביטחונו. כלי הנשק שנמכרו במסגרת האישומים הם על פי טיבם כאלה שבאמצעותם ניתן בנקל לפגוע בשלמות הגוף ולגדוע חיי אדם. חומרת הנזק הנגרם בעקבות ביצוע עבירות כגון אלו מתעצמת במקרים כבענייננו, שבהם נמכרים כלי נשק בעלי פוטנציאל פגיעה ממשי, שהרי דין סחר ברובה סער, בתת-מקלע או באקדח אמין ואיכותי, אינו כדין סחר באקדח מאולתר (ראו למשל: ע""פ 1397/16 מדינת ישראל נ' חמאיל, [פורסם בנבו] פסקה 13 (12.9.2016) (להלן: עניין חמאיל); עניין חסן, פסקה 10).",0
ME-18-04-3295-790,55,"החומרה היתרה הכרוכה בעבירות נשק והסיכון הנשקף מביצוען לציבור, מקבלים משנה תוקף בשים לב להיקפיה של התופעה ואופן התפשטותה. כמענה לכך, מסתמנת בפסיקה מגמה עקבית להחמיר את הענישה בגין עבירות אלו, באופן שיהלום את מידת פגיעתן בערכים המוגנים ויקדם את מיגור התופעה (עניין דהוד, פסקה 11; עניין חסן, פסקה 12; עניין עספור, פסקה 7). משכך, חרף עיקרון הענישה האינדיבידואלית והמשקל שיש ליתן לנסיבותיו האישיות של כל נאשם לגופו, בבואו לגזור את דינו של מי שהורשע בביצוע עבירות חמורות אלו, על בית המשפט לתת בכורה לשיקולי ההרתעה והאינטרס הציבורי (ע""פ 5643/14 עיסא נ' מדינת ישראל [פורסם בנבו] (23.6.2015) (להלן: עניין עיסא), פסקה 13; עניין נפאע, פסקה 5)."" (שם בפסקאות 10,11)",0
ME-18-04-3295-790,57,"המגמה להחמיר בענישה בעבירות נשק באה לידי ביטוי בשורה ארוכה של פסקי דין שניתנו על ידי בית משפט העליון, בין היתר, בע""פ 1323/13 רך חסן  נגד מדינת ישראל  (5.6.13), שם קבעה כבוד השופטת ארבל:",0
ME-18-04-3295-790,63,"בע""פ 135/17 מדינת ישראל נ' סמי בסל (8.3.17) קיבל בית המשפט העליון את ערעורה של המדינה  על גזר דינו של בית המשפט המחוזי בחיפה, במסגרתו הושת על הנאשם 12 חודשי מאסר לריצוי בפועל, בגין ביצוע עבירות של החזקה ונשיאת נשק לפי סעיף 144(א) ו-144(ב) לחוק העונשין וגזר עליו 18 חודשי מאסר. במקרה דנן הנאשם היה כבן 20, צבר לחובתו הרשעה אחת בעבירת איומים ושבל""ר, החזיק בתת מקלע ומחסנית והסתירם בשביל קרוב משפחתו, למשך שבוע ימים, שבסופם העבירם לאחר, אשר קנה את הנשק והמחסנית מקרוב משפחתו של הנאשם.",1
ME-18-04-3295-790,65,"בע""פ 7552/14 יוסף אגבאריה נ' מדינת ישראל (23.6.15) דחה בית המשפט העליון ערעור על גזר דינו של בית המשפט המחוזי בתל אביב, במסגרתו הושת על המערער עונש מאסר בן 32 חודשי מאסר בפועל, בגין עבירה של סחר בנשק (אקדח) שבוצע בצוותא, וכן עבירה של הפרעה לשוטר בעת מילוי תפקידו ועבירת איומים.",1
ME-18-04-3295-790,68,"בע""פ 2186/13 עקול נגד מ""י (18.2.14), בית המשפט העליון לא התערב במתחם ענישה של 24 עד 48 חודשי מאסר שנקבע בבית המשפט המחוזי בחיפה, בגין עבירות של נשיאת נשק וסחר בנשק (אקדח, מחסנית וכדורים) לסוכן משטרתי.",1
ME-18-04-3295-790,70,"בע""פ 526/14 פלוני נ' מדינת ישראל (12.03.14) הנאשם הורשע בעבירות החזקת נשק וסחר בנשק, בבית המשפט המחוזי בבאר שבע (אקדח ומחסנית). הושת עליו 22 חודשי מאסר בפועל. בית המשפט העליון קיבל את ערעור הנאשם על חומרת העונש והפחית את עונשו ל-16 חודשי מאסר בפועל נוכח פוטנציאל שיקומי גבוה במיוחד. ",1
ME-18-04-3295-790,72,"בע""פ 4945/13 מדינת ישראל נ' סלימאן (19.1.14) נקבע מדרג חומרה לעבירות הנשק השונות, כאשר עבירת הסחר מצויה ברף העליון. עבירת נשיאת והובלת הנשק נמצאת ברף הבינוני. עבירת רכישת נשק ואביזר נשק, נמצאת ברף התחתון של עבירות הנשק. באותו האירוע נקבע מתחם בשל עבירות של נשיאת והובלת נשק וכן רכישת אביזר של נשק שנע בין 12 ל-36 חודשי מאסר. שם דובר בנשק מסוג קרל גוסטב עם מחסנית וכדורים, וכן הנאשם בדק את תקינות הנשק כאשר ירה כדור בודד. בסופו של יום, בית משפט חרג ממתחם העונש ההולם מטעמי שיקום, והטיל שישה חודשי מאסר שירוצו בעבודות שירות, שם דובר בצעיר שהיה בן 19 בעת ביצוע העבירות, והנסיבות שהובילו לביצוע העבירות היה פחד וחשש לחייו. גם במסגרת פסק דין זה חזר בית המשפט העליון והדגיש, כי כלל בעבירות מסוג זה לא ניתן להסתפק בעונש של מאסר בעבודות שירות, אלא ראוי להטיל עונש של מאסר שירוצה בבית הכלא, מאחורי סורג ובריח.",0
ME-18-04-3295-790,89,"עוד יש לתת דגש לשיקולי הרתעת הרבים, כפי שהדגיש כב' השופט שוהם בע""פ 7502/12 עת חזר על ההלכה שנקבעה ברע""פ 2718/04 אבו דאחל נ' מדינת ישראל :",0
ME-18-04-3295-790,91,"""הסכנה הטמונה בעבירה החמורה של החזקת נשק מצדיקה הטלת עונשי מאסר לריצוי בפועל גם על מי שזו עבירתו הראשונה. בבוא בית המשפט לשקול את הענישה בעבירות מסוג זה, עליו לתת משקל נכבד יותר לאינטרס הציבורי ולצורך להרתיע עבריינים בכוח מלבצע עבירות דומות, על פני הנסיבות האישיות של העבריין"" (וראו גם, ע""פ 6583/06 אדהאם נ' מדינת ישראל (5.12.2006); ע""פ 2839/05 אל קאדר נ' מדינת ישראל (17.11.2005)).""",0
ME-17-10-48506-537,49,"""כלי הנשק הנסחרים עלולים לעבור מיד ליד. הם לא נרכשו באופן חוקי וחזקה שהם לא נועדו לשמש מטרה חוקית. גם כשהם נמצאים בידי אדם שאינו עבריין טמונה בהם סכנת חיים. קל וחומר אם הם מתגלגלים ומגיעים לידי גורמים עוינים, ועלינו לקחת בחשבון אפשרות זו, להרתיע מפניה ולמנוע את הסכנה המחמירה והולכת הצפויה מן הסחר בנשק. לכן שומה על בית-המשפט להתריע כנגד סכנה זאת ולפעול כנדרש כדי להרתיע מפני עבירה זאת"". – ע""פ 4609/98 טאהא נ' מדינת ישראל, תק - על 99(2) 716.",0
ME-18-04-34003-438,44,"9.	מבחינת הענישה הנוהגת - בית המשפט העליון חזר פעם אחר פעם על החומרה הגלומה בעבירות בנשק, ועל פוטנציאל הפגיעה בנפש וברכוש שעלולה להיגרם כתוצאה מהשימוש בו. אשר לעבירת הסחר בנשק שהעונש המרבי הקבוע בחוק בגינה הוא מאסר 15 שנים, הדגיש בית המשפט העליון כי יש לראות במשנה חומרה עבירה זו, ולפיכך על דרך הכלל יש להחמיר בענישתם של נאשמים שהורשעו בעבירות בנשק בכלל ובעבירות של סחר בנשק בפרט. נפסק כי הגם שהענישה היא לעולם אינדיבידואלית, הרי בעבירה של סחר בנשק ראוי כי ברגיל בית המשפט ייתן משקל משמעותי יותר לאינטרס הציבורי ולצורך להרתיע עבריינים מלבצע עבירות דומות, על-פני הנסיבות האישיות של העבריין (ראו: ע""פ 6989/13 פרח נ' מדינת ישראל, פס' 13 (25.2.2014)). ",0
ME-18-04-34003-438,46,"	לאחרונה, ניתן בבית-המשפט העליון פסק-דין שדן בהרחבה בענישה בגין עבירות של סחר בנשק (ראו: ע""פ 8045/17 בראנסי נ' מדינת ישראל (16.8.2018)). נקבע כי נוכח ממדיה המדאיגים של תופעת הסחר הבלתי חוקי בנשק, הסכנות הנשקפות ממנה והקלות היחסית שבה ניתן לבצעה, מן הראוי להחמיר בעונשי המאסר הנגזרים על נאשמים בעבירות אלה בכפוף לנסיבות כל מקרה. בחינת מתחמי הענישה ההולמים שצוינו באותו פסק-דין בגין עבירות של סחר בנשק, מעלה כי בגין עבירה של סחר בנשק שנגעה למכירת אקדח, נקבע מתחם עונש הולם שנע בין 2 ל- 4 שנות מאסר בפועל (שם, פס' 54-56). יש לציין כי באותו מקרה, הנאשם הציע לסוכן המשטרתי מספר סוגים של אקדחים טרם האקדח שנמכר. כמו כן, הנאשם באותה פרשה הורשע בעבירה של קשירת קשר בנוסף לעבירה של סחר בנשק, דבר שלא מתקיים בנסיבות המקרה שלפניי. מצד שני, הנאשם שלפניי ירה מהאקדח 7 כדורים מבעד לחלון הרכב טרם מכירתו לסוכן, וכן הנאשם שלפניי מכר לסוכן את האקדח ביחד עם מחסנית וכדורים תואמים, באופן המקים נסיבות לחומרה.",0
ME-18-04-34003-438,48,"	למען שלמות התמונה, אציין כי ב""כ הנאשם הפנה בטיעוניו למתחם ענישה הולמת שנע בין 8 עד 20 חודשי מאסר בפועל, אשר נקבע בת""פ (מחוזי י-ם) 17365-04-14 מדינת ישראל נ' עווד אללה (12.2.2015)). עם זאת, באותו מקרה הנאשם הורשע בעבירת ניסיון בסחר בנשק (ולא בעבירת סחר מושלמת). כמו כן, באותה פרשה התברר בדיעבד כי האקדח נשוא העסקה היה תקוּל, וכן נקבע כי חלקו של הנאשם בעסקה לא היה דומיננטי. בנוסף, הנאשם באותו מקרה לא ירה באקדח טרם מכירתו. המסקנה המתבקשת מכל אלה היא כי המקרה אליו הפנה הסנגור בטיעוניו שונה בנסיבותיו מן המקרה שלפניי, וממילא המתחם שנקבע באותה פרשה אינו יכול לשמש לענייננו.",0
ME-18-04-34003-438,61,"13.	אשר לבקשת המאשימה להורות על חילוט הגי'פ – לא יכול להיות חולק כי הג'יפ שימש את הנאשם באופן ישיר לביצוע עבירת הסחר בנשק בה הורשע, שכן הנאשם הגיע למקום ביצוע העבירה עם הג'יפ, הוביל באמצעות הג'יפ את האקדח שנמכר לסוכן, הציג לסוכן את חלקי האקדח בתוך הג'יפ במפגש הראשון ביניהם, וניהל בתוכו את המשא-ומתן הכספי. בהתחשב בכל אלה, אני סבורה כי הג'יפ היווה רכיב מהותי בביצוע העבירה, וכי עוצמת הזיקה בין הג'יפ לבין העבירה של סחר בנשק על החוּמרה והסיכון הגלומים בה - מהותית. אין חולק לפניי כי הבעלות בג'יפ רשומה על-שם הנאשם, וכי הג'יפ נקנה על-ידי הנאשם והיה בשימושו. אף אם אקבל את טענת הסנגור לפיה אביו של הנאשם סייע לו בשעתו במימון רכישת הג'יפ ואף עשה בעצמו שימוש ברכב לצרכי המשפחה, הרי אין בעובדה זו כשלעצמה כדי לסתור את בעלותו הרשומה והמהותית של הנאשם על הג'יפ. יוער כי לא הוגשה בקשה נוגדת על-ידי מאן דהוא בטענה לזכויות בג'יפ הנדון (ראו: פרוטוקול דיון לפניי מיום 6.9.2018, עמ' 12). בנסיבות אלה, אני רואה להורות על חילוט הג'יפ מכוח סעיף 39 לפקודת סדר הדין הפלילי (מעצר וחיפוש) [נוסח חדש], התשכ""ט-1969 (ראו והשוו: ת""פ (מחוזי י-ם) 17520-03-14 מדינת ישראל נ' אבו אלהווה (2.4.2015), וכן: ע""פ 1000/15 אבו אלהווה נ' מדינת ישראל (3.7.2015), פס' 23).",0
ME-17-08-13632-55,86,"בהתאם לתיקון 113, כאשר אין המדובר בעבירה יחידה, וכשלב ראשון, על בית המשפט לקבוע האם מדובר באירוע אחד או בכמה אירועים נפרדים. תקצר היריעה מלפרט את המבחנים השונים שנקבעו בפסיקה ביחס לשאלה מה ייחשב כמעשה אחד, ומה ייחשב כאירוע אחד וזאת לצורך קביעת מתחם עונש הולם על פי תיקון 113.  בית המשפט העליון נדרש באריכות לסוגיה זו במסגרת ע""פ 4910/13 אחמד ג'אבר נ' מדינת ישראל. בסופו של פסק דין זה, מתקבלת בדעת רוב עמדת כב' השופטת ברק-ארז יחד עם דעתו של כב' השופט פוגלמן לפיה, בבואו של בית משפט לקבוע אם מדובר באירוע אחד בגינו יש לקבוע מתחם אחד, אם לאו, יש להחיל את מבחן ""ניסיון החיים"" ומבחן ""הקשר ההדוק"". עוד ראה בהקשר לכך, ע""פ 361-04-14 גיא פן נ' מ""י, רע""פ 4760/14 קיסלמן נ' מ""י וע""פ 5643/14 אחמד עיסא נ' מ""י. ",0
ME-17-08-13632-55,93,"על החומרה שיש לנקוט בעבירות נשק ראו ע""פ 1332/04 מ""י נ' יצחק רפאל פס ואח' 9/04/2004): ",0
ME-17-08-13632-55,97,"ברע""פ  2718/04 פואד אבו דאחל נגד מדינת ישראל, (29/03/2004) צוין כי עבירה של החזקת נשק מצדיקה עונש מאחורי סורג ובריח וזאת גם במקרים שהנאשמים נטולי עבר פלילי: ",0
ME-17-08-13632-55,100,"בע""פ 2368/11 ג'מאל נפאע נ' מדינת ישראל, ציין בית המשפט כי: ",0
