text,gpt_response
"אשר לעתירת המאשימה להטיל על הנאשם 1 פסילת רישיון נהיגה, הרי שבהתחשב בקשר שבין הנהיגה עצמה לבין העבירה, ובהתחשב בחשיבות רישיון הנהיגה לקיום חיי שגרה ועבודה, ובצורך של הנאשם ברישיון הנהיגה לחזרה למסלול החיים הנורמטיבי לאחר ריצוי עונש המאסר, נראה לי שבמקרה זה יש להימנע מפסילה בפועל של רישיון הנהיגה.",לא נכון
הנאשם 2 הורשע בעבירה של הפרעה לשוטר במילוי תפקידו.,לא נכון
עבירה זו יכולה להתבטא במגוון מצבים ולהתאפיין בדרגות חומרה שונות.,לא נכון
"כאן, הנסיבות מלמדות שהנאשם 2 ידע על הסם שאחיו, הנאשם 1, החזיק וכאשר אחיו ברח מהשוטרים, קפץ מעל חומת בניין וזרק את שקית הסמים, הנאשם 2 יצא מהרכב, קפץ מעל החומה והתקרב אל שקית הסמים, ונדרשה תגובה מידית של הבלש שהיה במקום למנוע ממנו להגיע אל שקית הסמים.",לא נכון
"ההקשר בו בוצעה העבירה והפגיעה שיכלה להיגרם לולא הצלחת הבלש לבלום את הנאשם מלהגיע אל שקית הסמים, מעמידים את עבירת ההפרעה לשוטר במילוי תפקידו שהנאשם 2 ביצע ברף חומרה משמעותי.",לא נכון
העונש הקבוע לעבירת ההפרעה לשוטר במילוי תפקידו הוא עד 3 שנות מאסר ולא פחות משבועיים ימים.,לא נכון
"במסגרת הסדר הטיעון התביעה הסכימה להציע לבית המשפט להטיל על הנאשם 2 מאסר למשך מספר חודשים ובאותה נשימה הסכימה כי תקופת המאסר תימנה בחופף לתקופת מאסר שהנאשם נשא בתיק אחר, כך שבפועל הנאשם ישא בתיק זה 19 ימי מאסר בפועל בלבד.",לא נכון
הצגת ההסדר כאילו הוא כולל הטלת מאסר של מספר חודשים היא בבחינת כסות עיניים להסדר המהותי לאשורו ומוטב להימנע מכך ולקרוא לילד בשמו.,לא נכון
"בנסיבות הענין, העונש המוצע לנאשם 2 מקל אתו, ללא הצדקה עניינית.",לא נכון
"למרות זאת, בהתחשב בתיקון מרחיק הלכת של כתב האישום בכל הנוגע לנאשם זה; בעבירה בה הנאשם הורשע – המתבררת ברגיל בבית משפט השלום; בפער בין העונש הראוי בנסיבות לעונש המוצע; ובכלל בדבר כיבוד הסדרי טיעון; אני מקבל את המלצת הצדדים לעונש בענין הנאשם 2.",לא נכון
"בהתחשב כל האמור, אני דן את הנאשמים לעונשים הבאים:",לא נכון
"א.	33 חודשי מאסר בפועל, מיום מעצרו.",לא נכון
"12 חודשי מאסר על תנאי למשך 3 שנים מיום שחרורו מהמאסר, שלא יעבור עבירת סמים שהיא פשע.",לא נכון
"קנס בסך 5,000 ₪ או 25 ימי מאסר תחתיו.",לא נכון
"הסך של 21,300 ₪ שנתפס, יחולט לטובת קרן החילוט מטעם האפוטרופוס הכללי והכונס הרשמי - הלבנת הון.",לא נכון
"6 חודשי פסילה על תנאי מלהחזיק או לקבל רישיון נהיגה, למשך שנה מיום שחרורו מהמאסר.",לא נכון
19 ימי מאסר בפועל בניכוי ימי המעצר בתיק זה.,לא נכון
מובהר בזה כי הנאשם נשא את תקופת המאסר.,לא נכון
"3 חודשי מאסר על תנאי למשך 3 שנים מיום שחרורו מהמאסר, שלא יעבור עבירה של הפרעה לשוטר או תקיפת שוטר.",לא נכון
"בשולי גזר הדין אני מבקש להעיר, כי יתכן שהסכמת התביעה לעונש מאסר קל במובהק מהראוי לנאשם 1, נובעת מכך שלהבדיל מסמים קשים אחרים כמו ההרואין והקוקאין, המוכרים היטב לגורמי התביעה ולבתי המשפט ולגביהם ישנה אינטואיציה משפטית מבוססת בנוגע למידת חומרתם, הרי שטיבו של סם המטילמטאקאטמין לוט בערפל מסוים והידע באשר למידת מסוכנותו ונזקיו טרם הוטמע.",לא נכון
ואולי יש מקום לפעול בענין זה.,לא נכון
זכות ערעור תוך 45 יום.,לא נכון
"54678313ניתן היום,  ד' אדר ב' תשפ""ד, 14 מרץ 2024, במעמד הצדדים.",לא נכון
נוסח מסמך זה כפוף לשינויי ניסוח ועריכה,לא נכון
"בעניין עריכה ושינויים במסמכי פסיקה, חקיקה ועוד באתר נבו – הקש כאן",לא נכון
"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7(א), (ג), 13, 19א, 21(א)(1)",לא נכון
"חוק הנוער (טיפול והשגחה), תש""ך-1960",לא נכון
"חוק העונשין, תשל""ז-1977: סע'  41",לא נכון
"* גזר דין בעניינו של נאשם שהורשע בעבירות של הדחת קטין לסמים מסוכנים, החזקת סם מסוכן שלא לצריכה עצמית וסחר בסם מסוכן.",לא נכון
"הוטלו על הנאשם 48 חודשי מאסר לריצוי בפועל, לצד עונשים נלווים.",לא נכון
* עונשין – ענישה – מדיניות ענישה: עבירות סמים,לא נכון
"הנאשם הורשע על יסוד הודאתו, במסגרת הסדר טיעון, בעבירות של הדחת קטין לסמים מסוכנים, החזקת סם מסוכן שלא לצריכה עצמית וסחר בסם מסוכן.",לא נכון
"בית המשפט גזר את דינו של הנאשם, ופסק כלהלן:",לא נכון
"בחינת מידת הפגיעה בערך המוגן מובילה למסקנה שבכל הנוגע לאישום הראשון מדובר בפגיעה ברף גבוה, כאשר עם תוצאות המעשים מתמודדת המתלוננת עד היום.",לא נכון
"בכל הנוגע לאישומים 2 ו-3, רף הפגיעה הוא נמוך – בינוני, בשים לב לכמות הסם אותה החזיק הנאשם באישום השני, ולסוג וכמות הסם בו סחר באישום השלישי.",לא נכון
"בשים לב למצבור הנסיבות המחמירות, מן הראוי היה למקם את עניינו של הנאשם בחלק העליון של המתחמים העונשיים שנקבעו.",לא נכון
"ואולם, בשים לב לחשיבות הרבה הגלומה בהודאתו, שייתרה את הצורך להעיד את המתלוננת, יש למקם את עונשו בחלק האמצעי–עליון של המתחמים.",לא נכון
"לאור הרשעתו של הנאשם בעבירות סמים חמורות, ובהן החזקת סם בכמות גדולה שלא לצריכה עצמית וכן עבירה של סחר בסמים, שבוצעה ממניע כספי מובהק, יש להטיל על הנאשם קנס כספי.",לא נכון
"ואולם, בשים לב לגובה הפיצוי שעל הנאשם יהיה לשלם ומשך המאסר אותו עתיד לרצות, יש להטיל עליו קנס סמלי בלבד.",לא נכון
"הנזק הכבד שגרם הנאשם לקטינה, הן הנפשי, הן הגופני והן האישי, נזק שבשלב זה לא ידוע מלוא היקפו, מצדיק הטלת רכיב פיצוי משמעותי.",לא נכון
"בית המשפט הטיל על הנאשם 48 חודשי מאסר בפועל, שני מאסרים על תנאי, קנס כספי בסך 1,000 ₪, פיצוי לקטינה בסך 30,000 ₪ ופסילת רישיון נהיגה למשך שנתיים מיום שחרורו ממאסר.",לא נכון
"הנאשם הורשע על יסוד הודאתו, במסגרת הסדר טיעון, בעובדות כתב אישום מתוקן, בעבירות הבאות: הדחת קטין לסמים מסוכנים, לפי סעיפים 21(א)(1) לפקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973 (להלן: הפקודה); החזקת סם מסוכן שלא לצריכה עצמית, לפי סעיפים 7(א) ו-(ג) רישא לפקודה; סחר בסם מסוכן, לפי סעיפים 13 ו-19א לפקודה.",לא נכון
"על פי המתואר בפרט האישום הראשון, ביום 28.1.2019, יצר הנאשם קשר עם הקטינה א.א, ילידת 17.1.2006 (להלן: הקטינה), באמצעות היישומון ""טלגרם"" (להלן: טלגרם), במטרה לספק לה סמים מסוכנים והשניים החלו להתכתב.",לא נכון
"במהלך ההתכתבות, מסרה הקטינה לנאשם כי היא בת 13, בעוד שהנאשם טען בפניה בכזב כי הוא בן 19.",לא נכון
"במהלך ההתכתבות הציע הנאשם לקטינה לספק לה סמים מסוכנים, תוך ששלח לה הודעות שונות, בהן כתב לה בין היתר:",לא נכון
במהלך ההתכתבות הגיבה הקטינה בחיוב להצעותיו של הנאשם לספק לה סם מסוכן.,לא נכון
הנאשם אף ניסה לשכנע את הקטינה בשלב מסוים בו התכתבו לצאת מהבית במהלך שעות הלילה ולפגוש בו.,לא נכון
"עם זאת, הקטינה סירבה להצעת הנאשם.",לא נכון
"בהמשך ההתכתבות ביניהם תיאמו הנאשם והקטינה שהנאשם יגיע למחרת היום לחטיבת הביניים בה לומדת הקטינה בעיר פתח תקווה ויאסוף אותה לאחר סיום הלימודים, כל זאת על מנת לספק לה סמים מסוכנים.",לא נכון
"למחרת, בתאריך 1.3.2019, החל משעות הבוקר המוקדמות, החלו הנאשם והקטינה להתכתב פעם נוספת.",לא נכון
"במהלך ההתכתבות שלחה הקטינה לנאשם קישור (""לינק"") אשר למקום הימצאה, תוך שציינה את שמו של בית הספר בו היא לומדת, זאת על מנת שהנאשם ידע היכן לאסוף אותה עם רכבו.",לא נכון
"במהלך ההתכתבות שלח הנאשם לקטינה הודעות שונות, ובהן:",לא נכון
"סמוך לשעה 12:30, אסף הנאשם את הקטינה באמצעות רכב מסוג טויוטה בעל לוחית זיהוי מספר 4588632 (להלן: הרכב), והשניים נסעו לדירה בעיר ראשון לציון (להלן: הדירה).",לא נכון
"במהלך הנסיעה, נתן הנאשם לקטינה חצי כדור שהכיל סם מסוכן מסוג mdma (""אקסטזי""), והקטינה בלעה אותו.",לא נכון
"בעקבות כך, החלה הקטינה להזות וחשה שהיא רואה צבעים שונים, קווים ונצנוצים.",לא נכון
"לאחר שהגיעו לדירה, סיפק הנאשם לקטינה חצי כדור נוסף שהכיל סם מסוכן מסוג mdma, אותו בלעה הקטינה.",לא נכון
"כן נתן לה הנאשם סיגריה שהכילה סם מסוכן מסוג קנבוס, אותה עישנה.",לא נכון
"בשעות הערב של אותו יום החזיר הנאשם את הקטינה לביתה, כשהיא תחת השפעת סמים מסוג מריחואנה, אמפטמינים ואקסטזי.",לא נכון
בהמשך אושפזה הקטינה בבית החולים שניידר למשך 4 ימים.,לא נכון
"משם הועברה הקטינה לאשפוז בבית החולים הפסיכיאטרי ""אברבנאל"" ובהמשך לבית החולים הפסיכיאטרי ""גהה"", שם הייתה מאושפזת גם במועד הגשת כתב האישום (ביום 19.3.2019 – ע.מ).",לא נכון
"על פי המתואר בפרט האישום השני, בסמוך ליום 6.3.2019, החזיק הנאשם בביתו 270 גרם נטו של סם מסוכן מסוג קנבוס, מחולק ל- 54 שקיות, כדור אחד של סם מסוכן מסוג mdma ומשקל אלקטרוני.",לא נכון
"באותו מועד החזיק הנאשם ברכב 25 גרם נטו של סם מסוכן מסוג קנבוס, מחולק ל- 5 שקיות.",לא נכון
"על פי המתואר בפרט האישום השלישי, השתמש הנאשם בטלגרם לשם סחר בסמים מסוכנים, תוך שכינה עצמו בכינוי ""ד""ר איוול"", לצורך הסתרת זהותו.",לא נכון
"בתאריך 14.12.2019, בסמוך לשעה 10:45, יצרה ג' (בגירה, ילידת 1996) קשר עם הנאשם באמצעות הטלגרם והשניים תיאמו שהנאשם יגיע לביתה של ג' במודיעין (להלן: הבית) על מנת למכור לה סם מסוכן.",לא נכון
"בהמשך הגיע הנאשם באמצעות הרכב סמוך לבית, ומכר לה סם מסוכן מסוג קנבוס במשקל של כ- 10 גרם תמורת של 700 ₪.",לא נכון
"בתאריך 1.3.2019, בסמוך לשעה 02:20, יצרה ג' קשר עם הנאשם באמצעות הטלגרם והשניים תיאמו שהנאשם יגיע לרחוב חיים לנדאו בראשון לציון על מנת למכור לה סם מסוכן פעם נוספת.",לא נכון
בהמשך הגיע הנאשם עם הרכב למקום ומכר ל-ג' סם מסוכן מסוג קנבוס במשקל 2-3 גרם תמורת סך של 100 ₪.,לא נכון
"בהזדמנות זו הציע הנאשם ל-ג' כדור המכיל סם מסוכן מסוג שאינו ידוע למאשימה, אך ג' סירבה להצעתו.",לא נכון
"בתאריך 4.3.2019 בשעות הערב, התכתבו הנאשם ו-ג' באמצעות יישומון הווטאספ.",לא נכון
במהלך ההתכתבות הציע הנאשם ל-ג' שיגיע לבית על מנת שיצרכו סמים ביחד.,לא נכון
"בסמוך לחצות, הגיע הנאשם באמצעות הרכב לאזור הבית וסיפק ל-ג' סם מסוכן מסוג קנבוס במשקל של כ- 4 גרם.",לא נכון
בהתאם להסכמת הצדדים הופנה הנאשם לשירות המבחן.,לא נכון
בין הצדדים לא התגבשה הסכמה עונשית.,לא נכון
עדות אמה של הקטינה,לא נכון
"מטעם המאשימה העידה אמה של הקטינה, ואף הוגש ""תצהיר נפגע עבירה"" שהוכן על ידה (ת/3).",לא נכון
"האם סיפרה על אשפוזיה של הקטינה בעקבות מעשי הנאשם, כאשר, לדבריה, מצבה של הקטינה עובר לאירוע היה תקין.",לא נכון
"משהוצגו לאם ראיות הסותרות את דבריה אשר למצבה ה""תקין"" של בתה, ובכלל זה יחסיה עם האם ועם אביה החורג, טענה שהקטינה מסרה את הדברים כאשר הייתה תחת השפעת סמים או כאשר הייתה במצב פסיכוטי.",לא נכון
"מבלי להיכנס לפרטי הפרטים של עדותה של האם, אומר שנותר בי הרושם שהאם לא סיפרה לבית המשפט את כל הידוע לה או את כל האמת.",לא נכון
"רושם דומה מתקבל אף מה""תצהיר"" שהוגש מטעמה, שלמיטב התרשמותי לא נכתב על ידה בלבד, כאשר בסופו קיימת דרישת פיצוי.",לא נכון
לפיכך מצאתי לתת לדברי האם משקל קטן בלבד.,לא נכון
"מ-ת/4, שנערך ביום 30.12.2019, עולה שהקטינה הוכרזה כ""קטינה נזקקת"" והיא נמצאת במקום תחת צו שניתן מכוח חוק הנוער (טיפול והשגחה), תש""ך-1960.",לא נכון
"כניסתה של הקטינה למקום לוותה בקשיים רבים, אולם בהמשך היא הצליחה להתארגן תפקודית ולהסתגל למקום.",לא נכון
"לצד זאת חווה הקטינה נכון להיום קשיים רגשיים, והיא מצליחה לשתף את הצוות במצוקותיה באופן מותאם יותר מאשר בעבר.",לא נכון
"עוד עולה מ-ת/4 שהקשר של הקטינה עם הוריה מלווה במתח ובכעסים, וכי היא ממעטת לשוחח עם אמה בטלפון.",לא נכון
העובדת הסוציאלית המטפלת בקטינה ציינה שהקטינה מגיעה אליה בקביעות לטיפול שבועי ומשתפת יותר ויותר בעולמה הפנימי.,לא נכון
"לדבריה, התמונה הקלינית המצטיירת היא של מוצפות רגשית של הקטינה עקב זיכרונות מאירועי העבר, בלבול וחרדה.",לא נכון
"בתוך כך סיפרה הקטינה לעו""ס ש""בשבועות האחרונים"" היא חושבת רבות על האדם אשר סיפק לה את הסמים, ""חווה פלאשבקים, מתקשה בלילות.",לא נכון
"הקטינה נמצאת במעקב פסיכיאטרי, ובמסגרת בדיקות שנערכו לה, נמצא שהיא מתמודדת עם ADHD.",לא נכון
הקטינה מקבלת טיפול מייצב ואנטי חרדתי.,לא נכון
"ב""כ המאשימה עמדה על הנסיבות המחמירות בהן התבצעה עבירת הדחת הקטינה לסמים, ולגילה הצעיר במיוחד של הקטינה, שהייתה בת 13 שנים בלבד עת יצר עמה הנאשם קשר באמצעות יישומון טלגרם.",לא נכון
"עוד הפנתה לכמות הסמים אותם החזיק הנאשם באישום השני ולעובדה שהיו מחולקים ל-54 מנות, וכן לחומרת מעשיו באירוע הסחר באישום השלישי, הכולל שלושה אירועים שונים.",לא נכון
"לדברי המאשימה קיימת חומרה יתרה בעבירה שעניינה הדחת קטין לסמים, שהעונש הקבוע בצידה עומד על 25 שנות מאסר, והדגישה שעבירת ההדחה לסם אין משמעותה מתן הסם בפעם הראשונה למי שעדיין לא השתמש בסמים.",לא נכון
"עוד הפנתה לכך שהנאשם סיפק לקטינה סוגים שונים של סמים, לרבות MDMA, וכי ההשפעות השליליות על הקטינה היו מידיות.",לא נכון
בעניין זה הפנתה לנזקים הרבים שנגרמו לקטינה.,לא נכון
"בשים לב לחומרת מעשיו של הנאשם, עתרה המאשימה לקביעת מתחם עונש הולם כולל הנע בין 36 חודשי מאסר ועד ל- 48 חודשי מאסר.",לא נכון
