case_id,sentence_text,label_a,label_a_norm,label_b,label_b_norm
"ת""פ 9804-01-24 ","ב""כ המאשימה, עו""ד יעל גבעוני, עמדה על נסיבות ביצוע העבירות בארבעת כתבי האישום והתייחסה למכלול הערכים המוגנים שנפגעו תוך שעתרה לקבוע מתחם נפרד לגבי כל כתב אישום.",תביעה,תביעה,תביעה,תביעה
"ת""פ 35299-09-23 ","ברשות הנאשם או בשליטתו היה סם מסוכן מסוג קוקאין, זמין, יום אחר יום.",שופט,שופט,שופט,שופט
"ת""פ 51207-09-12","לדבריו, השימוש הראשון שנעשה בנשק, נעשה במעבדת הנשק במטה הארצי של המשטרה ועובדה היא, כפי שעולה מחוות דעת המומחה שהוגשה מטעם התביעה, כי לאחר הירי הראשון שבוצע נשברה ידית הדריכה ולא ניתן היה עוד לירות בנשק.",הגנה,הגנה,ההגנה,הגנה
"ת""פ 16014-01-22 ","הנאשם התייחס למעורבותו החזרתית בעבירות, לקח אחריות מלאה על התנהלותו וזיהה את הגרומים שעמדו ברקע להתנהלותו.",שירות המבחן,שירות המבחן,שופט,שופט
"ת""פ 16014-01-22 ","שירות המבחן התרשם שהנאשם מסתייע ונענה להליך הטיפולי, מתבונן על מצבי הסיכון, רוכש כלים להתמודדות יעילה במצבים אלה ובמצב זה פוחת הסיכון להישנות העבירות.",שופט,שופט,שופט,שופט
"ת""פ 28565-05-24","בטיעוניה לעונש, הדגישה המאשימה את הערכים המוגנים אשר נפגעו כתוצאה ממעשי הנאשם בהם שמירה על בריאות הציבור והגנה מפני נגע הסמים והפצתם.",תביעה,תביעה,תביעה,תביעה
"ת""פ 33577-04-12","הנזק שהיה עלול להיגרם ברור, אך בנס נמנע אסון.",שופט,שופט,שופט,שופט
"ת""פ 33577-04-12","בהתאם להוראות סעיף 40ג(א), יש לקבוע את מתחם העונש ההולם, בהתחשב בשאלה מהו הערך החברתי שנפגע מביצוע העבירה ומידת הפגיעה בו וכן במדיניות הענישה הנהוגה ובנסיבות הקשורות לביצוע העבירה.",שופט,שופט,שופט,שופט
"ת""פ 28360-02-13","בהתייחסות לעבירה דנן, השירות התרשם, כי הנאשם נטל אחריות חלקית על ביצועה וטשטש את נסיבות מעורבותו בה, למעט נשיאת הנשק.",שירות המבחן,שירות המבחן,שירות המבחן,שירות המבחן
"ת""פ 51207-09-12","כן הפנה ב""כ המאשימה לפסיקה, בה נגזרו עונשי מאסר של שנתיים ימים, על עבירות של אחזקת נשק וירי.",התביעה,תביעה,התביעה,תביעה
"ת""פ 33444-05-12","הסנגור שב על נסיבותיו החריגות של הנאשם, על תחושת המצוקה שחש לנוכח הפגיעה בבנו וכן בעקבות ירי שבוצע בעבר לעבר עובדים אחרים בשוק, אירועים בגינם נפתחה חקירה ע""י משטרת ישראל.",ההגנה,הגנה,ההגנה,הגנה
"ת""פ 35299-09-23 ",העבירות שעבר הנאשם חמורות.,שופט,שופט,שופט,שופט
CASE_11608-07-16,"בפתח דבריו ביקש ב""כ הנאשם להדגיש כי מסגרת הטיעונים לעונש מוגבלת לכתב האישום המתוקן, ואינה כוללת התייחסות לנושאים כגון הפצה, שאליהם התייחס התובע.",ההגנה,הגנה,ההגנה,הגנה
"ת""פ 17917-08-10","הסניגור טען כי הנאשם עלה לארץ בגיל 17 כנוצרי וכי שירת בצה""ל ובהמשך בשירות בטחון כללי, כי בחייו התמודד עם קשיים רבים וזוהי מעידתו הראשונה והחד פעמית.",ההגנה,הגנה,ההגנה,הגנה
"ת""פ 9804-01-24 ","עוד עמד על ההליך הטיפולי שעבר הנאשם, אשר שהה כ- 8.5 חודשים במרכז חוסן והמשיך לאחר מכן כשנה וחצי בבית משפט קהילתי, תוך שיתוף פעולה ומסירת בדיקות שתן.",הגנה,הגנה,הגנה,הגנה
"ת""פ 21724-08-22 ","בנוסף הוסכם על חילוט סכום הכסף שנתפס בסך 1,740 ₪.",תביעה,תביעה,תביעה,תביעה
"ת""פ 9804-01-24 ","הסנגור ביקש לתת משקל לכך שהנאשם במהלך חייו שמר על תפקוד תעסוקתי, עוד ביקש שביום שחרורו ממאסר יתאפשר לו לנהוג ולעובד בכדי לסייע לו להשתקם וכן לפרנס את בנו ולסגור את חובותיו.",הגנה,הגנה,הגנה,הגנה
"ת""פ 33444-05-12","הסנגור הטעים כי לא היה מקום לעשות כן, קל וחומר מבלי לנמק את השינוי בהמלצה, זאת על רקע הנסיבות המיוחדות ויוצאות הדופן של האירוע, המצדיקות חריגה ממדיניות הענישה.",ההגנה,הגנה,ההגנה,הגנה
"ת""פ 51207-09-12","לדעת שירות המבחן, ""עונש חינוכי של של""צ, בהיקף שעות משמעותי, עשוי לחבר את הנאשם באופן ממשי לחומרת מעשיו ולאפשר לו לפצות את החברה, תוך כדי שמירה על דפוסי עבודה תקינים ויציבים, דבר שיסייע לו בבניית חיים עצמאיים"".",שירות המבחן,שירות המבחן,שירות המבחן,שירות המבחן
"ת""פ 46424-05-24",אני מאד מתחרט על המעשים שלי.,נאשם,נאשם,נאשם,נאשם
"ת""פ 16192-05-09","ב""כ המאשימה הפנה בראשית טיעוניו לגיליון ההרשעות הקודמות של הנאשם המעיד לדבריו, על נאשם שהינו עבריין מועד ומסוכן שהורשע בעבירות שוד מזוין, החזקת נשק שלא כדין, יריות פציעה ותגרות, בגינן אף ריצה שני עונשי מאסר.",התביעה,תביעה,התביעה,תביעה
"ת""פ 16014-01-22 ",בתאריך 22.08.24 נתקבלה חוות דעת הממונה על עבודות השירות לפיה הנאשם נמצא לא כשיר לבצע עבודות שירות וזאת בשל התנגדות משטרת ישראל.,שופט,שופט,שופט,שופט
"ת""פ 17917-08-10","באישום השני – בחודש יולי 2010 קיבל הנאשם מאותו אחר 15.05 גרם סם מסוכן נסוג קנבוס, תמורתו שילם 150 ₪.",שופט,שופט,שופט,שופט
תפ 9983-05-16,קרוב המשפחה הסכים והודיע לאחר שעליו לקחת את התת מקלע מהנאשם.,שופט,שופט,שופט,שופט
CASE_11608-07-16,"ב""כ הנאשם עמד על כך שחוות הדעת של שירות המבחן קובעת כי מאסר בפועל עלול לפגוע פגיעה קשה בשיקומו של הנאשם.",ההגנה,הגנה,ההגנה,הגנה
"ת""פ 13401-03-12","לטענתו, הבחור הניח חבילה מתחת למדרגות בסמוך אליהם ונסע מהמקום.",ההגנה,הגנה,ההגנה,הגנה
