gpt_response,text
לא נכון,"עם זאת, שירות המבחן אבחן שקיימת יכולת ראשונית מצד הנאשם לברר את עמדותיו ותפיסותיו ולבחון את התנהלותו על מנת לערוך שינוי."
לא נכון,לאור האמור הומלץ לשלבו בהתערבות טיפולית יעודית לעוברי חוק מהמגזר הערבי המעורבים בתחום הנשק העשויה להביא להפחתת הסיכון להישנות התנהגות בעייתית מצידו בעתיד.
לא נכון,כך הומלץ על הטלת מבחן למשך שנה שבמהלכה הוא ישולב בקבוצה היעודית.
לא נכון,"הנאשם יליד 1981, כבן 35, עצור מיום 22.11.15 ונעדר עבר פלילי."
לא נכון,הערכים החברתיים המוגנים שנפגעו הם שמירה על בטחון הציבור ובאופן עקיף שמירה על הסדר הציבורי.
לא נכון,מידת הפגיעה בערכים אלה היתה משמעותית לאור ההיקף הנרחב של החזקת הנשקים ונשיאתם באישומים השונים.
לא נכון,"ברור שנדרש תכנון מוקדם לביצוע העבירות, וביתר שאת באישומים בהם הועברו הנשקים לידי אחרים והוחבאו על ידם בניצוחו של הנאשם."
לא נכון,"חלקו היחסי של הנאשם היה דומיננטי, אם לא בלעדי, בכל העבירות."
לא נכון,"היות שמדובר בנשק חם ובחלק מן המקרים בנשקים התקפיים מסוכנים כגון רובים, רובה סער, רובה בריחי, ותתי מקלעים, היה פוטנציאל לגרימת נזק משמעותי."
לא נכון,הסיבות שהביאו את הנאשם לביצוע העבירה לא היו מוצדקות (אם כי אחזור לעניין זה בהמשך) וברור כי הנאשם הבין את הפסול במעשיו.
לא נכון,"במקרה זה התשובה לשאלה אם מדובר במספר אירועים או באירוע אחד מתמשך, אינה חדה."
לא נכון,"מחד, מדובר במספר נשקים שרכישתם והסתרתם נעשו במקומות שונים ובזמנים שונים ובשיתוף עם אנשים שונים."
לא נכון,"בהסתמך על בסיס זה טענה המדינה שמדובר בששה אירועים נפרדים שבגין כל אחד מהם יש מקום לקבוע מתחם שונה: אירוע החזקת תת המקלע המאולתר; מחסניות כדורים ואמצעים נוספים; אירוע החזקה ונשיאה של רובה בריחי; אירוע החזקת רובה סע 16 -M, ארבע מחסניות ורצועה לנשק; אירוע החזקה ונשיאת אקדח ברטה, מחסנית וכדורים; אירוע החזקת רובה MP5 ומחסנית ואירוע החזקת תת מקלע מאולתר, כדורים ומחסנית."
לא נכון,"מאידך, פורט בסעיף 8 לכתב האישום המתוקן שבין השנים 2011 עד 2015 בהזדמנויות שונות, ירה הנאשם בכלי הנשק השונים."
לא נכון,"ממצא זה מצביע יותר מלכאורה, על קשר הדוק בהחזקת כל הנשקים והשימוש בהם - כך שמצטיירת תמונה של מעין 'תכנית' כוללת להחזיק אוסף נשקים בבחינת אדם המוצא סיפוקו בעצם החזקת האוסף והשימוש בו שלא כלל יש להדגיש שימוש לצורך ביצוע עבירות או אף ירי בקרבת בני אדם."
לא נכון,יש עוד לציין שכתב האישום חולק לשני אישומים שונים כאשר חלק מהעבירות בוצעו יחד עם אדם אחר.
לא נכון,"ביחס לנשקים הכבדים יותר, יש לקבוע לטעמי מתחם הולם שבין 1.5 עד 4 שנות מאסר בפועל ובגין החזקת האקדח בין 1 עד 3 שנות מאסר בפועל."
לא נכון,"אולם, יובהר שנסיבות המקרה מצדדות בהפעלת סעיף 40יג(ב) באופן שייגזר עונש כולל לכל האירועים."
לא נכון,"על רקע האמור בתסקיר ונסיבות המקרה כפי שמצטיירות בכתב האישום המתוקן,  שוכנעתי שיש מקום להעדיף שיקולי שיקום על פני שיקולי ענישה ואפרט: ראשית, יצויין למען הסדר שכתב האישום השתנה באופן מהותי כשתוקן, כאשר תחילה, הואשם הנאשם בשלושה אישומים כאשר האישום השני והאישום השלישי כללו סחר בנשק וניסיון לסחור בנשק, עבירות שנעלמו מכתב האישום המתוקן."
לא נכון,"שנית, יצויין שבמבט ראשון עולה תמונה מדאיגה ביותר בקשר להחזקת כל כך הרבה נשקים לאורך תקופה ארוכה ואכן הנאשם סווג בתחילת ההליך כעצור בטחוני."
לא נכון,"ברם, הובהר על ידי המדינה בהגינותה כי העבירות בהן הואשם והורשע בסופו של דבר לא נשאו כל אופי בטחוני."
לא נכון,"בחינת התסקיר מעלה כי הנאשם אסף את הנשקים והחזיק בהם כמי שמונע על פי דחפים התמכרותיים ובכך הוא דומה לכל ""מכור"" אחר."
לא נכון,"כאמור בכתב האישום, משך כל השנים לא נעשה על ידו כל שימוש אחר בנשקים או אף הכנה לשימוש כאמור."
לא נכון,לשיקולי הענישה יש עוד להוסיף את תאונת הדרכים הטרגית שגרמה למותן של אמו ודודתו בדרכן לבקרו במעצרו כאשר אירוע זה מהווה נסיבה שניתן להתחשב בה בפסיקת העונש כאמור בסעיף 40יא(2) לחוק.
לא נכון,"אמנם, מדובר בפגיעה שקשורה אך בעקיפין באירועים, אך כפי שצויין בתסקיר, מותן בנסיבות שתוארו, הגביר אצל הנאשם את ""הבנתו לחומרת מעשיו והאיסור בהתנהגותו"" (שם)."
נכון,יוער שהנאשם גם הביע חרטה אמיתית וכנה ובנוסף דאג באופן אקטיבי לאיסוף ולמסירת כל כלי הנשק שנכללו באישומים.
לא נכון,"לצד זה יש עוד לציין את העובדה שהנאשם שהה במעצר תקופה ארוכה למדי, חלקה באופן לא חוקי, לתקופה שכבר הצטברה ליותר משנה, כך שגם אם לא יענש במאסר נוסף, הוא חווה כבר עונש משמעותי כאשר יש לציין שהוא שהה בתנאים מחמירים במיוחד לאור סיווגו כעציר בטחוני."
לא נכון,מכל האמור הגעתי למסקנה שיש להשית על הנאשם את העונשים הבאים:
לא נכון,תקופת מבחן למשך שנתיים במהלכה ישתתף בתכנית השיקום שתוארה בתסקיר שירות המבחן.
לא נכון,12 חודשי מאסר על תנאי למשך 3 שנים מהיום שיחולו במידה ויעבור עבירות נשק מסוג פשע.
לא נכון,"קנס בסך 10,000 ₪ לתשלום עד ליום 30.1.17."
לא נכון,חילוט כלי הנשק שנתפסו.
לא נכון,זכות ערעור תוך 45 ימים.
לא נכון,"5129371ניתן היום,  כ""א כסלו תשע""ז, 21 דצמבר 2016, בנוכחות הצדדים."
לא נכון,"בעניין עריכה ושינויים במסמכי פסיקה, חקיקה ועוד באתר נבו – הקש כאן"
לא נכון,נוסח מסמך זה כפוף לשינויי ניסוח ועריכה
לא נכון,בית המשפט המחוזי בבאר שבע
לא נכון,"חוק העונשין, תשל""ז-1977: סע'  25, 40ח', 144, 144(ב2)"
לא נכון,"הנאשם הורשע על-פי הודאתו, במסגרת הסדר טיעון, בכתב אישום מתוקן, בביצוע עבירה של ניסיון סחר בנשק, עבירה לפי סעיף 144(ב2) + סעיף 25 לחוק העונשין, התשל''ז – 1977 (להלן: ""חוק העונשין"")."
לא נכון,"בין הנאשם לבין מוחמד אגבאריה (להלן: ""מוחמד"") וקטין בשם מ' ג' (להלן: ""אחרים"") קיימת הכרות מוקדמת."
לא נכון,"מוחמד הוא הבעלים של רכב מאזדה (להלן: ""הרכב"")."
לא נכון,"במועד שאינו ידוע במדויק למאשימה, אך לפני ה-24.11.2020, סיכם הנאשם עם אחר כי ימכור לו נשק בסכום של כ-6,000 ₪."
לא נכון,"במסגרת הסיכום, באותו מועד בשעות הערב, נסעו הנאשם והאחרים מאום אל פחם לרהט, לצורך מכירת הנשק."
לא נכון,"השלושה נסעו ברכב בו נהג מוחמד כשהנאשם ישב מקדימה לצידו של מוחמד, והקטין ישב מאחורי הנאשם."
לא נכון,"עם כניסתו לרכב, החביא הנאשם נשק מסוג תת מקלע ""קרל גוסטב"", אשר בתוכו מחסנית ריקה (להלן: ""הנשק""), מתחת למושבו בסמוך לרגלי הקטין, וזאת במטרה למוכרו כפי שסוכם עם האחר."
לא נכון,"בעקבות פעילות משטרתית, עוד בטרם הגיעו הנאשם והאחרים לרהט, נעצרו השלושה בכביש 40 בסמוך לצומת פורה, ובמהלך חיפוש נמצא הנשק."
לא נכון,בשל גילו של הנאשם ועמדת המאשימה קיימת בעניינו חובת תסקיר של שירות מבחן.
לא נכון,"מהתסקיר עלה כי הנאשם כבן 19, רווק, סיים 12 שנות לימוד, החל לעזור בפרנסת המשפחה בגיל 17 בעבודות מזדמנות במקביל ללימודיו, בן לזוג הורים פרודים מזה כשנה וחצי, אמו עובדת בעבודות ניקיון מזדמנות."
נכון,"הנאשם הודה בביצוע העבירה, הביע חרטה ולקח אחריות על ביצוע העבירה."
לא נכון,מסר כי נסע יחד עם חברו (הנאשם הנוסף בתיק) למכור נשק לקונה אותו הכיר ברהט במטרה להרוויח כסף בדרך מהירה וקלה.
לא נכון,"הנאשם הביע חשש מהשלכות ההליך הפלילי על עתידו והוסיף כי לא ידע לאיזו מטרה ביקש הקונה לרכוש את הנשק, כי לא הכיר בחומרת העבירה וההשלכות האפשריות ממכירת נשק וכי מעולם לא היה מעורב באירוע אלימות או נכח בסביבת כלי נשק בעבר."
לא נכון,שירות המבחן הוסיף כי על אף שנאשם קיבל  אחריות על ביצוע העבירה הוא נמנע למסור מידע על שותפיו או על הדרך בה השיג את הנשק.
לא נכון,שירות המבחן התרשם כי הנאשם מביע שאיפה לניהול אורח חיים תקין ועושה מאמצים בשנים האחרונות לעבוד ולפרנס את משפחתו.
לא נכון,"מאידך שירות המבחן התרשם כי לנאשם יכולות וכישורים דלים, רמת בשלות נמוכה, כי הוא מתנהל בקלות דעת וללא מחשבה על ההשלכות הנובעות ממעשיו, כי הוא נוקט עמדות מקלות בנוגע לביצוע העבירה, כי הוא נעדר נכונות לקחת חלק בטיפול, כי הוא נוקט בגישה מצמצמת המסתירה את התנהלותו וחבירתו לחברה שולית מה שעלול להעמיק קשריו עם חברה זו בהעדר גורמים מכווינים."
לא נכון,שרות המבחן התרשם כי קיים סיכון להישנות ביצוע עבירות.
לא נכון,"נוכח גישתו המצמצמת של הנאשם, מאפייני אישיותו וכוחותיו הדלים נמנע שירות המבחן מלבוא בהמלצה טיפולית בעניינו."
לא נכון,המאשימה טענה בכתב והשלימה טיעוניה על-פה.
לא נכון,המאשימה טענה כי מתחם העונש ההולם נע בין 3 ל-7 שנות מאסר.
לא נכון,"המאשימה עתרה לעונש של 4 שנות מאסר, מאסר מותנה וקנס."
לא נכון,המאשימה עתרה לכך שלא ינוכו ימי מעצר מתקופת המאסר שתיגזר על הנאשם בהם היה במקביל אסיר בגין עבירות תעבורה שעבר.
לא נכון,"המאשימה הפנתה לערכים המוגנים שנפגעו ולמידת הפגיעה הגבוהה בהם, לפוטנציאל הסיכון הגלום בהפצת נשק בלתי חוקי העלול להגיע לידיים עברייניות או עויינות, לסוג הנשק (תת מקלע ומחסנית) שנתפס, לתכנון שקדם לביצוע העבירה, לחלקו הדומיננטי והאקטיבי של הנאשם בביצוע העבירה, לתעוזה שבנסיעה עם נשק לא חוקי מצפון הארץ לדרומה ולסיבות שהביאו את הנאשם לבצע את העבירה."
לא נכון,המאשימה הוסיפה כי הנאשם לא השלים את ביצוע העבירה המושלמת אך בשל העובדה שהמשטרה עצרה אותו לפני מכירת הנשק.
לא נכון,"המאשימה הפנתה לנפוצות עבירות הנשק ולעובדה כי מדובר בעבירות שהפכו למכת אזור ולמכת מדינה, לצורך בענישה מרתיעה למיגור התופעה ולמגמת ההחמרה העקבית בענישה בעבירות אלה."
לא נכון,"המאשימה התייחסה לעונשו של מוחמד שותפו של הנאשם בביצוע העבירה והבהירה כי מדובר בנסיבות שונות, שכן זה לא ידע בתחילת הנסיעה על קיומו של הנשק ונודע לו על כך רק במהלך הנסיעה דרומה."
לא נכון,המאשימה ציינה כי לא הוגש ערעור על עונשו של מוחמד והוסיפה כי נגד הקטין כלל לא הוגש כתב אישום.
לא נכון,המאשימה התייחסה בטיעוניה גם להמלצת שירות המבחן וצרפה פסיקה לתמיכה בעמדתה העונשית.
לא נכון,"ב""כ הנאשם טען כי מתחם העונש ההולם נע בין 12 ל-20 חודשי מאסר."
לא נכון,"ב""כ הנאשם עתר לעונש של 15 חודשי מאסר, שהוא העונש שהוטל על מוחמד."
לא נכון,"בנוסף עתר ב""כ הנאשם לכך שעונש המאסר שיוטל על הנאשם יחפוף את עונש המאסר שהוא מרצה בגין תיק תעבורה באופן מלא ולמצער באופן חלקי."
לא נכון,"ב""כ הנאשם סבר שנכון יהיה לאזן את עונש המאסר אותו הציע עם ענישה נלווית של מאסר על תנאי, התחייבות להימנע מביצוע עבירה וקנס מתון (נוכח מצבו הכלכלי הקשה של הנאשם)."
לא נכון,"ב""כ הנאשם טען כי נסיבות ביצוע העבירה במקרה דנן מלמדות כי רף החומרה של העבירה אינו גבוה."
לא נכון,"בעניין זה הפנה לכך שמדובר בנשק מאולתר ולא בנשק תקני של צה""ל, לכך שהמחסנית שנתפסה עם הנשק הייתה ריקה מתחמושת, לכך שמדובר בעבירת נשק אחת שנעברה ולא בריבוי מקרים, לכך שהתכנון שקדם לביצוע העבירה הוא אינהרנטי לאופי העבירה של סחר בנשק, ולכך שבסופו של יום לא נגרם נזק שכן הנשק נתפס ולא הגיע ליעדו."
לא נכון,"ב""כ הנאשם טען כי הנאשם עבר את העבירה על רקע מצוקה נפשית וכלכלית, כי נכנע ללחצים אישיים של המשפחה והתפתה לבצע את העבירה."
לא נכון,"ב""כ הנאשם הפנה להודאת הנאשם, לגילו הצעיר ולהשתייכותו לקבוצת ה""בגירים-צעירים"", לעובדה כי הוא נעדר עבר פלילי, לעובדה כי הוא מבין את הפסול ואת הנזק שיכול להיגרם ממעשיו, לעובדה כי מדובר במאסרו הראשון ולנזק שיגרם לו ולמשפחתו מעונש מאסר."
לא נכון,"ב""כ הנאשם הפנה לאמור בתסקיר שירות המבחן ביחס לנסיבות חייו הקשות של הנאשם ולהתרשמות שירות המבחן ביחס למאפייניו האישיותיים לרבות לכישוריו הדלים ומידת הבשלות הנמוכה."
לא נכון,"כאמור, ב""כ הנאשם ביקש להשוות את עונשו של הנאשם לזה שהוטל על מוחמד, תוך שהדגיש כי הלה לא לקח אחריות על מעשיו ובעניינו הוגש תסקיר שלילי של שירות המבחן."
לא נכון,"ב""כ הנאשם הוסיף כי אף שמוחמד הורשע בעבירה שונה יש להתייחס לעובדות כתב האישום בעניינו מהן ניתן ללמוד כי החל מנקודת זמן מסוימת זה  היה מודע לכך שהנאשם בדרכו למכור נשק."
לא נכון,"ב""כ הנאשם הוסיף כי במכלול הנסיבות אין מקום להחמיר בענייננו של הנאשם, גם לא לצורך הגשמת תכליות ציבוריות של הרתעה."
לא נכון,"ב""כ הנאשם צרף פסיקה לתמיכה בעמדתו העונשית."
נכון,הנאשם מסר כי הבין את הטעות שעשה והביע את רצונו לשוב למשפחתו ולסייע להם.
לא נכון,סבורני כי מתחם העונש ההולם בעניינו של הנאשם צריך לנוע בין 18 ל-36 חודשי מאסר.
לא נכון,"בקביעת המתחם התחשבתי בערכים המוגנים שנפגעו, במידת הפגיעה בהם, בנסיבות הקשורות בביצוע העבירות ובענישה הנוהגת, כפי שאפרט להלן."
לא נכון,"הנאשם פגעו בערכים המוגנים של שמירה על שלום הציבור, על ביטחונו ועל הסדר הציבורי."
לא נכון,מידת הפגיעה בערכים המוגנים בענייננו היא לא מבוטלת.
לא נכון,הנאשם היה המוציא והמביא בביצוע העבירה.
לא נכון,הוא סיכם עם רוכש הנשק על מכירת הנשק והוא זה ששינע את הנשק בנסיעה מצפון הארץ לדרומה על מנת להשלים את העסקה.
לא נכון,מידת הפגיעה בערכים המוגנים נלמדת גם מסוג הנשק ואופיו הקטלני -תת מקלע ומחסנית.
לא נכון,"מאידך גיסא נתתי דעתי לכך שהנשק נתפס ולא הועבר בסופו של יום לאחר, ומכאן שהחשש מפני שימוש בנשק זה שלא כדין ומפני פגיעה בציבור כתוצאה מכך הפך פחות ממשי."
לא נכון,כן נתתי דעתי לכך שהמחסנית הייתה ריקה מכדורים.
לא נכון,"באשר לנסיבות הקשורות בביצוע העבירה נתתי משקל לנזק שצפוי היה להיגרם לו הנשק היה מגיע לידיים עברייניות או עויינות, לתכנון שקדם לביצוע העבירה לרבות הסיכום המוקדם עם רוכש הנשק והחבירה לאחרים לצורך שינוע הנשק מה שמעיד על הקשרים של הנאשם בתחום, לסוג הנשק (תת מקלע קרל גוסטב) ואופיו הקטלני, לחלקו הדומיננטי של הנאשם שהוא למעשה מחולל העבירה, לתעוזה בהובלת הנשק מצפון הארץ לדרומה, לעובדה כי הנאשם לא השלים את העבירה  אך בשל העובדה שנתפס על-ידי המשטרה ולסיבה בעטיה עבר הנאשם את העבירה (בצע כסף)."
לא נכון,לקולא נתתי כאמור משקל לעובדה כי בסופו של יום לא נגרם נזק שכן הנשק לא הגיע לידי ידיים עברייניות או עויינות.
לא נכון,כן נתתי משקל לעובדה כי המחסנית הייתה ריקה.
לא נכון,"הפסיקה בעבירות הנשק הינה מגוונת ותלויית נסיבות ה""עושה"" לרבות גילו, עברו הפלילי ונסיבותיו האישיות אך בעיקר בנסיבות ה""המעשה"" לרבות סוג העבירות שנעברו בנשק, מספר העבירות, סוג הנשק והתחמושת, טיבם ואופיים, פוטנציאל הסיכון הנשקף מאלו, משך התקופה בה בוצעו העבירות, זהות הצדדים לעסקת הנשק (האם מדובר בגורם עוין או עברייני) ועוד."
לא נכון,עיינתי בפסיקה שצרפו הצדדים שאל חלקה אתייחס להלן.
לא נכון,מטבע הדברים ובשל מנעד הענישה הרחב בעבירות הנשק צרף כל צד פסיקה המתאימה לעמדתו העונשית.
לא נכון,"ב""כ הנאשם צרף מספר רב של פסקי דין."
לא נכון,"לא מצאתי לחרוג ממתחם העונש ההולם שנקבע בענייננו, ובתוך מתחם העונש נתתי משקל להודאת הנאשם וללקיחת האחריות על-ידו על כל המשתמע מכך, לגילו הצעיר ולמאפייני אישיותו הדלים כמפורט בתסקיר שירות המבחן, לעובדה כי הוא נעדר עבר פלילי, לנזק שיגרם לנאשם ולמשפחתו מעונש המאסר שיוטל עליו, לנסיבותיו האישיות-משפחתיות ולהתרשמות של שירות המבחן על אודות קיומו של סיכון להישנות ביצוע עבירות והעדר פניות לטיפול ולהעדר המלצה טיפולית."
